id_ticket,fecha,hora,id_cliente,modelo,falla,estado,tiempo_reparacion_horas,costo_repuesto,precio_final,tecnico,canal
1,2026-01-02,09:14,102,iPhone 11,Pantalla rota,Completado,3.5,48,95,Juan,Tienda física
2,2026-01-02,10:22,115,Samsung S21,Batería,Completado,2,22,55,Lucía,Instagram
3,2026-01-02,11:47,108,Xiaomi Redmi Note 11,Conector de carga,Completado,2.5,18,50,Marcos,Google
4,2026-01-03,15:33,121,iPhone XR,Software,Completado,1,0,25,Sofía,WhatsApp
5,2026-01-03,16:10,134,MacBook Air 2019,Humedad,En proceso,5,60,120,Pedro,Tienda física
6,2026-01-04,10:55,109,iPhone 12,Cámara,Completado,2.5,28,70,Juan,Web
7,2026-01-04,12:41,118,Samsung S22,Altavoz,Completado,1.5,15,45,Lucía,Instagram
8,2026-01-04,17:22,140,iPad 8,Batería,Completado,2,25,60,Marcos,Google
9,2026-01-05,09:03,111,iPhone SE 2020,Pantalla rota,Completado,3,45,90,Sofía,Tienda física
10,2026-01-05,13:18,127,Xiaomi Redmi Note 10,Software,Completado,0.5,0,20,Pedro,WhatsApp
11,2026-01-06,11:44,119,iPhone 13,Placa base,En proceso,6,80,150,Juan,Web
12,2026-01-06,14:09,130,Samsung S21,Micrófono,Completado,2,18,55,Lucía,Instagram
13,2026-01-06,16:55,105,MacBook Air 2017,Conector de carga,Completado,3,25,75,Marcos,Tienda física
14,2026-01-07,10:33,112,iPhone 11,Batería,Completado,1.5,20,50,Sofía,Google
15,2026-01-07,12:48,138,Xiaomi Redmi Note 11,Pantalla rota,Completado,3.5,48,95,Pedro,Web
16,2026-01-07,17:11,124,iPhone XR,Altavoz,Completado,1.5,15,45,Juan,Instagram
17,2026-01-08,09:27,133,Samsung S22,Humedad,En proceso,5,60,120,Lucía,Tienda física
18,2026-01-08,11:39,110,iPad 8,Software,Completado,0.5,0,20,Marcos,Google
19,2026-01-08,15:22,129,iPhone 12,Micrófono,Completado,2,18,55,Sofía,WhatsApp
20,2026-01-09,10:41,101,iPhone 13,Pantalla rota,Completado,3.5,48,95,Pedro,Tienda física
21,2026-01-09,13:55,117,Xiaomi Redmi Note 10,Batería,Completado,2,22,55,Juan,Instagram
22,2026-01-09,16:18,125,Samsung S21,Conector de carga,Completado,2.5,18,50,Lucía,Google
23,2026-01-10,09:12,136,iPhone SE 2020,Software,Completado,1,0,25,Marcos,Web
24,2026-01-10,11:47,113,MacBook Air 2019,Placa base,En proceso,6,80,150,Sofía,Tienda física
25,2026-01-10,14:33,122,iPhone 11,Altavoz,Completado,1.5,15,45,Pedro,Instagram
26,2026-01-11,10:05,135,Samsung S22,Cámara,Completado,2.5,28,70,Juan,Google
27,2026-01-11,12:58,120,iPhone XR,Humedad,En proceso,5,60,120,Lucía,WhatsApp
28,2026-01-11,17:22,107,Xiaomi Redmi Note 11,Batería,Completado,2,22,55,Marcos,Tienda física
29,2026-01-12,09:44,114,iPhone 12,Pantalla rota,Completado,3.5,48,95,Sofía,Instagram
30,2026-01-12,13:11,132,iPad 8,Conector de carga,Completado,2.5,18,50,Pedro,Google
31,2026-01-12,16:33,139,iPhone 13,Software,Completado,1,0,25,Juan,Web
32,2026-01-13,10:22,103,Samsung S21,Micrófono,Completado,2,18,55,Lucía,Tienda física
33,2026-01-13,12:55,128,MacBook Air 2017,Altavoz,Completado,1.5,15,45,Marcos,Instagram
34,2026-01-13,15:44,106,iPhone SE 2020,Batería,Completado,2,22,55,Sofía,Google
35,2026-01-14,09:18,137,Xiaomi Redmi Note 10,Pantalla rota,Completado,3.5,48,95,Pedro,Web
36,2026-01-14,11:33,116,iPhone 11,Conector de carga,Completado,2.5,18,50,Juan,WhatsApp
37,2026-01-14,14:27,131,Samsung S22,Software,Completado,0.5,0,20,Lucía,Tienda física
38,2026-01-15,10:41,104,iPhone XR,Humedad,En proceso,5,60,120,Marcos,Instagram
39,2026-01-15,13:55,126,iPad 8,Cámara,Completado,2.5,28,70,Sofía,Google
40,2026-01-15,16:22,123,iPhone 12,Altavoz,Completado,1.5,15,45,Pedro,Web
41,2026-01-16,09:33,141,Xiaomi Redmi Note 11,Micrófono,Completado,2,18,55,Juan,Tienda física
42,2026-01-16,12:14,118,Samsung S21,Batería,Completado,2,22,55,Lucía,Instagram
43,2026-01-16,15:55,110,iPhone 13,Pantalla rota,Completado,3.5,48,95,Marcos,Google
44,2026-01-17,10:11,133,MacBook Air 2019,Conector de carga,Completado,3,25,75,Sofía,Web
45,2026-01-17,12:48,119,iPhone SE 2020,Software,Completado,1,0,25,Pedro,WhatsApp
46,2026-01-17,17:22,127,Samsung S22,Placa base,En proceso,6,80,150,Juan,Tienda física
47,2026-01-18,09:44,105,iPhone XR,Altavoz,Completado,1.5,15,45,Lucía,Instagram
48,2026-01-18,13:33,130,Xiaomi Redmi Note 10,Batería,Completado,2,22,55,Marcos,Google
49,2026-01-18,16:55,112,iPhone 11,Cámara,Completado,2.5,28,70,Sofía,Web
50,2026-01-19,10:22,138,iPad 8,Pantalla rota,Completado,3.5,48,95,Pedro,Tienda física
51,2026-01-19,12:58,121,iPhone 12,Software,Completado,1,0,25,Juan,Instagram
52,2026-01-19,15:44,134,Samsung S21,Humedad,En proceso,5,60,120,Lucía,Google
53,2026-01-20,09:33,109,iPhone 13,Conector de carga,Completado,2.5,18,50,Marcos,Web
54,2026-01-20,11:55,140,Xiaomi Redmi Note 11,Altavoz,Completado,1.5,15,45,Sofía,WhatsApp
55,2026-01-20,14:22,117,MacBook Air 2017,Batería,Completado,2,22,55,Pedro,Tienda física
56,2026-01-21,10:11,101,iPhone XR,Pantalla rota,Completado,3.5,48,95,Juan,Instagram
57,2026-01-21,12:44,132,Samsung S22,Micrófono,Completado,2,18,55,Lucía,Google
58,2026-01-21,16:18,114,iPhone SE 2020,Conector de carga,Completado,2.5,18,50,Marcos,Web
59,2026-01-22,09:55,136,iPad 8,Software,Completado,0.5,0,20,Sofía,Tienda física
60,2026-01-22,13:33,128,iPhone 11,Humedad,En proceso,5,60,120,Pedro,Instagram
61,2026-01-22,16:55,111,iPhone 12,Altavoz,Completado,1.5,15,45,Juan,Google
62,2026-01-23,10:14,129,Samsung S21,Pantalla rota,Completado,3.5,48,95,Lucía,Web
